keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
@amazongiveaway,USERNAME,0,675,939,761,RT amazongiveaway: We have millions of prizes. #PickAGoodOne http://t.co/mSZTaYX0zH http://t.co/u79W9n6XBm,238,412,298,Amazon,28/05/2015
http://t.co/brHbUzuAB3,LINK,0,1098,131,759,Follow amazon and retweet for a chance to win http://t.co/brHbUzuAB3 Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/OxA2Xdhx9Z,1098,131,759,Amazon,19/01/2015
http://t.co/OxA2Xdhx9Z,LINK,0,1098,131,759,Follow amazon and retweet for a chance to win http://t.co/brHbUzuAB3 Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/OxA2Xdhx9Z,1098,131,759,Amazon,15/04/2015
http://t.co/VZsGcAWEpb,LINK,0,1098,132,759,RT for a chance to win from Rem4Men http://t.co/VZsGcAWEpb NoPurchNec #AmazonGiveaway Rules: https://t.co/fOgS3DlGqk http://t.co/G7qGlD0z3W,1098,132,759,Amazon,27/01/2015
https://t.co/fOgS3DlGqk,LINK,0,1098,132,759,RT for a chance to win from Rem4Men http://t.co/VZsGcAWEpb NoPurchNec #AmazonGiveaway Rules: https://t.co/fOgS3DlGqk http://t.co/G7qGlD0z3W,1098,132,759,Amazon,23/02/2015
http://t.co/G7qGlD0z3W,LINK,0,1098,132,759,RT for a chance to win from Rem4Men http://t.co/VZsGcAWEpb NoPurchNec #AmazonGiveaway Rules: https://t.co/fOgS3DlGqk http://t.co/G7qGlD0z3W,1098,132,759,Amazon,19/03/2015
http://t.co/7OKRYpz8Fs,LINK,0,1082,139,751,Follow amazon and retweet for a chance to win http://t.co/7OKRYpz8Fs Rules http://t.co/OurBZonokE #AmazonSweeps http://t.co/QHJJNqkcWz,1082,139,751,Amazon,17/04/2015
http://t.co/OurBZonokE,LINK,0,1082,139,751,Follow amazon and retweet for a chance to win http://t.co/7OKRYpz8Fs Rules http://t.co/OurBZonokE #AmazonSweeps http://t.co/QHJJNqkcWz,1082,139,751,Amazon,27/03/2015
http://t.co/QHJJNqkcWz,LINK,0,1082,139,751,Follow amazon and retweet for a chance to win http://t.co/7OKRYpz8Fs Rules http://t.co/OurBZonokE #AmazonSweeps http://t.co/QHJJNqkcWz,1082,139,751,Amazon,17/06/2015
@Reverend_Scott,USERNAME,0,454,1290,745,"RT Reverend_Scott: ""Honey u need to go out and try to find work.""SO WRITING REVIEWS OF WOLF TSHIRTS I GOT ON AMAZON ISN'T WORK MOM? TH�",449,1188,707,Amazon,28/03/2015
http://t.co/flrZJUBWeB,LINK,0,1075,108,736,Follow amazon and retweet for a chance to win http://t.co/xiBLj6JRn7 Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/flrZJUBWeB,1075,108,736,Amazon,22/02/2015
http://t.co/xiBLj6JRn7,LINK,0,1075,108,736,Follow amazon and retweet for a chance to win http://t.co/xiBLj6JRn7 Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/flrZJUBWeB,1075,108,736,Amazon,31/03/2015
#DashButton,HASHTAG,0,784,607,720,Introducing Amazon Dash Button. Press it to get it. http://t.co/oMGn2m0gLO #DashButton http://t.co/6lxIccZPzJ,464,315,411,Amazon,24/04/2015
http://t.co/oMGn2m0gLO,LINK,0,784,607,720,Introducing Amazon Dash Button. Press it to get it. http://t.co/oMGn2m0gLO #DashButton http://t.co/6lxIccZPzJ,464,315,411,Amazon,1/6/2015
HemingWeigh Yoga Mat,OTHER,0.220775872,1029,122,711,RT Amazon3PSellers: Follow + RT for a chance to win a HemingWeigh Yoga Mathttp://t.co/eNdCN8iXpkhttp://t.co/srwC3LP7KE#AmazonSweeps htt�,1029,122,711,Amazon,1/4/2015
http://t.co/eNdCN8iXpk,LINK,0,1029,122,711,RT Amazon3PSellers: Follow + RT for a chance to win a HemingWeigh Yoga Mathttp://t.co/eNdCN8iXpkhttp://t.co/srwC3LP7KE#AmazonSweeps htt�,1029,122,711,Amazon,1/3/2015
http://t.co/srwC3LP7KE,LINK,0,1029,122,711,RT Amazon3PSellers: Follow + RT for a chance to win a HemingWeigh Yoga Mathttp://t.co/eNdCN8iXpkhttp://t.co/srwC3LP7KE#AmazonSweeps htt�,1029,122,711,Amazon,6/12/2014
http://t.co/L5jJbtf43L,LINK,0,1027,119,709,Follow amazon and retweet for a chance to win http://t.co/auUrFtW3oV Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/L5jJbtf43L,1027,119,709,Amazon,18/03/2015
http://t.co/auUrFtW3oV,LINK,0,1027,119,709,Follow amazon and retweet for a chance to win http://t.co/auUrFtW3oV Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/L5jJbtf43L,1027,119,709,Amazon,23/06/2015
"""Honey u need to go out and try to find work.""",OTHER,0,449,1188,707,"RT Reverend_Scott: ""Honey u need to go out and try to find work.""SO WRITING REVIEWS OF WOLF TSHIRTS I GOT ON AMAZON ISN'T WORK MOM? TH�",449,1188,707,Amazon,4/12/2014
Honey,OTHER,0,449,1188,707,"RT Reverend_Scott: ""Honey u need to go out and try to find work.""SO WRITING REVIEWS OF WOLF TSHIRTS I GOT ON AMAZON ISN'T WORK MOM? TH�",449,1188,707,Amazon,31/03/2015
http://t.co/9YIEOHSKV6,LINK,0,997,143,698,Twix is in it for the win! RT for a chance to win this #CandyBracket #AmazonSweeps Rules: https://t.co/roi2BWGHav http://t.co/9YIEOHSKV6,997,143,698,Amazon,11/4/2015
https://t.co/roi2BWGHav,LINK,0,997,143,698,Twix is in it for the win! RT for a chance to win this #CandyBracket #AmazonSweeps Rules: https://t.co/roi2BWGHav http://t.co/9YIEOHSKV6,997,143,698,Amazon,20/04/2015
@mmschocolate,USERNAME,0,592,886,694,Who will prevail in the #CandyBracket championship? Retweet for mmschocolate Favorite for Twix http://t.co/9r5KpmopIP,202,331,247,Amazon,7/4/2015
Save,OTHER,0.018791561,576,908,683,Save our fulfillment center and enter for a chance to win this raptor https://t.co/RZCiJ8cr9c NoPurchNec. Ends 6/14 http://t.co/3l313ztFNW,123,242,164,Amazon,15/05/2015
Zerolemon Lightning,OTHER,0.662327647,985,110,678,RT Amazon3PSellers: RT / Follow for a chance to win a Zerolemon Lightning Cable! NoPurchNec #AmazonGiveaway Rules: http://t.co/0AP5VEuFCk �,985,110,678,Amazon,6/4/2015
http://t.co/0AP5VEuFCk,LINK,0,985,110,678,RT Amazon3PSellers: RT / Follow for a chance to win a Zerolemon Lightning Cable! NoPurchNec #AmazonGiveaway Rules: http://t.co/0AP5VEuFCk �,985,110,678,Amazon,18/12/2014
missed,OTHER,-0.293333332,580,861,677,In case you missed it a velociraptor is running wild in one of our fulfillment centers and we need your help... http://t.co/8KxVwjVDJb,326,602,422,Amazon,23/03/2015
http://t.co/3O1a2WNTTC,LINK,0,982,109,676,RT for a chance to win from Rem4Men http://t.co/3O1a2WNTTC NoPurchNec #AmazonGiveaway Rules: https://t.co/sFDxVarIIl,982,109,676,Amazon,28/03/2015
#MarchMadness,HASHTAG,-0.084555762,334,1322,674,RT amazonfire: Our tablets won't bust even if your bracket does. Fire HD�the official tablet of #MarchMadnesshttps://t.co/X2sqqzS9z6,64,320,153,Amazon,28/11/2014
best,OTHER,0.035234875,499,1024,674,RT amazongames: Check out our picks for the best games of 2014. http://t.co/SWO0Nt2Ev4 http://t.co/o2J51MDxe0,74,92,80,Amazon,9/12/2014
http://t.co/iGKhQRm43K,LINK,0,923,186,665,Retweet if this prize sounds sweet! Enter at this link for a chance to win: http://t.co/iGKhQRm43K NoPurchNec http://t.co/d87IpsWmVr,923,186,665,Amazon,6/5/2015
http://t.co/d87IpsWmVr,LINK,0,923,186,665,Retweet if this prize sounds sweet! Enter at this link for a chance to win: http://t.co/iGKhQRm43K NoPurchNec http://t.co/d87IpsWmVr,923,186,665,Amazon,31/03/2015
officially open,OTHER,0.987412512,556,860,662,RT MountainDew: The Mtn Dew Amazon store is officially open for business! Check it out. https://t.co/htqQiiqm7e,278,430,331,Amazon,4/12/2014
Winner,OTHER,0.204166671,569,827,657,#CandyBracket battle of the bars: SNICKERS VS Twix. RT to vote Snickers Fav to vote Twix. Winner goes to the semis. http://t.co/YjNIt6Yhrf,265,358,297,Amazon,12/2/2015
@IMDb,USERNAME,0,536,881,653,RT IMDb: Watch an exclusive featurette for #TheWaterDiviner w/ a special intro from .russellcrowe http://t.co/DK9Bfa9VO1 http://t.co/zEJC�,96,144,112,Amazon,19/06/2015
#PrimeNow,HASHTAG,8.14E-07,615,734,650,Dallas #PrimeNow has arrived! FREE 2-hour delivery ($7.99 1-hour delivery) exclusively for Prime members http://t.co/c6wiWeQLNb,79,63,73,Amazon,15/04/2015
#Amazon,HASHTAG,5.92E-08,456,1015,647,RT LeeAnnWard1115: amazon So this just happened...yes I made a cake shaped like an Amazon box! Very special delivery! #Amazon #cakelove h�,207,540,323,Amazon,4/5/2015
Favorite,OTHER,0.25000001,292,1249,625,Who will prevail in the #CandyBracket championship? Favorite for mmschocolate Retweet for Twix http://t.co/hEdgzg6cSB,228,240,232,Amazon,3/2/2015
