,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity,,,,,
16/07/2014,#IBM,HASHTAG,0,entity,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
16/07/2014,http://t.co/0Rq48p7t7i,LINK,0,entity,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
19/09/2014,great,OTHER,0.600000024,phrase,b9d37e0c-bb29-4d5a-ad55-c616ba654f88,Thanks to all the new iPhone 6 and iPhone 6 Plus owners around the world! Had a great visit to our Palo Alto stores. http://t.co/XAxKLEQvjg,2749,3933,3163,,,,,
19/09/2014,Palo Alto,OTHER,0.600000024,entity,b9d37e0c-bb29-4d5a-ad55-c616ba654f88,Thanks to all the new iPhone 6 and iPhone 6 Plus owners around the world! Had a great visit to our Palo Alto stores. http://t.co/XAxKLEQvjg,2749,3933,3163,,,,,
19/09/2014,great visit,OTHER,0.600000024,theme,b9d37e0c-bb29-4d5a-ad55-c616ba654f88,Thanks to all the new iPhone 6 and iPhone 6 Plus owners around the world! Had a great visit to our Palo Alto stores. http://t.co/XAxKLEQvjg,2749,3933,3163,,,,,
19/09/2014,iPhone 6 Plus,OTHER,0,entity,b9d37e0c-bb29-4d5a-ad55-c616ba654f88,Thanks to all the new iPhone 6 and iPhone 6 Plus owners around the world! Had a great visit to our Palo Alto stores. http://t.co/XAxKLEQvjg,2749,3933,3163,,,,,
19/09/2014,http://t.co/XAxKLEQvjg,LINK,0,entity,b9d37e0c-bb29-4d5a-ad55-c616ba654f88,Thanks to all the new iPhone 6 and iPhone 6 Plus owners around the world! Had a great visit to our Palo Alto stores. http://t.co/XAxKLEQvjg,2749,3933,3163,,,,,
22/09/2013,ConanOBrien,OTHER,0,entity,108b0e3c-3736-4d8f-ac7e-a5a4b38f4581,RT @ConanOBrien: iOS7? More like iOSHeaven. #ApplePleaseSendMeAniPad,3368,2718,3141,,,,,
22/09/2013,#ApplePleaseSendMeAniPad,HASHTAG,0,entity,108b0e3c-3736-4d8f-ac7e-a5a4b38f4581,RT @ConanOBrien: iOS7? More like iOSHeaven. #ApplePleaseSendMeAniPad,3368,2718,3141,,,,,
6/6/2014,expertise,OTHER,0.49000001,phrase,d3372e56-0484-41f2-8a00-49b4873dc703,"Watching the Mac Pro come together in Austin yesterday,thanks to a team loaded with American manufacturing expertise. http://t.co/5LcCOFIVgC",2923,3016,2956,,,,,
6/6/2014,Austin,OTHER,0.49000001,entity,d3372e56-0484-41f2-8a00-49b4873dc703,"Watching the Mac Pro come together in Austin yesterday,thanks to a team loaded with American manufacturing expertise. http://t.co/5LcCOFIVgC",2923,3016,2956,,,,,
