keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
#XboxVideo,HASHTAG,0.050281252,2129,1399,1872,RT XboxEntertain: #TheInterview is available today on #XboxVideo and on http://t.co/z0Uqvv6A3m. http://t.co/mnDwPuepko http://t.co/FYlq2IN�,1528,1038,1356,Microsoft
Bing,OTHER,-1.29E-04,1829,1968,1871,What's cooler than being cool? Ice cold. Caption this Bing homepage image: http://t.co/Np83W23qCP,157,237,185,Microsoft
#e,HASHTAG,0,1814,1908,1846,"RT satyanadella: Thank you to our customers, partners &amp; employees who made 40 yrs of Microsoft possible! Look forward to the next 40 &amp; #e�",1814,1908,1846,Microsoft
#OfficeforiPad,HASHTAG,0.031358514,2070,1411,1836,"RT Office: More than 12 million downloads of Word, Excel, PPT &amp; OneNote for #iPad from the AppStore &lt;3 #OfficeforiPad http://t.co/iT2egNP�",974,390,769,Microsoft
Flipboard style,OTHER,0,529,4161,1800,"Microsoft news, Flipboard style http://t.co/0pskJjMG4L",529,4161,1800,Microsoft
http://t.co/0pskJjMG4L,LINK,0,529,4161,1800,"Microsoft news, Flipboard style http://t.co/0pskJjMG4L",529,4161,1800,Microsoft
http://t.co/Z316UBD7aN,LINK,0,1715,1910,1782,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp�,903,1006,939,Microsoft
MSFTResearch,OTHER,4.19E-04,1920,1549,1780,RT Windows: Motion-sensing keyboard that detects hand gestures--in the works from MSFTResearch! http://t.co/RcgMrS4dKW http://t.co/hfzuOv�,317,268,299,Microsoft
http://t.co/0i3rpj412A,LINK,0,1931,1483,1774,Introducing Microsoft HoloLens. Transform your world with holograms. Learn more: http://t.co/VG1dvzykWN http://t.co/0i3rpj412A,1931,1483,1774,Microsoft
http://t.co/VG1dvzykWN,LINK,0,1931,1483,1774,Introducing Microsoft HoloLens. Transform your world with holograms. Learn more: http://t.co/VG1dvzykWN http://t.co/0i3rpj412A,1931,1483,1774,Microsoft
passions,OTHER,0.326666673,2102,1051,1733,Your passions never clock out. How do you own your #5to9? http://t.co/ZsBvT6HVDd,1936,745,1519,Microsoft
interested,OTHER,0.060694958,1990,1229,1718,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706,Microsoft
https://t.co/sSx1Z1hlLv,LINK,0,1974,1209,1706,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706,Microsoft
#IWD2015,HASHTAG,0,1974,1209,1706,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706,Microsoft
#YouthSpark,HASHTAG,0.023076924,1555,1970,1695,On stage at #WeDay SelenaGomez and #YouthSpark Star abril_vela talk about how anyone can learn how to code. http://t.co/ZEU5qYwicQ,620,458,563,Microsoft
perfect,OTHER,0.047073056,1670,1690,1670,"RT surface: Meet the new Surface 3, a perfect balance of performance and value. From $499. Learn more: http://t.co/ZATp3NqYndhttps://t.co�",876,759,835,Microsoft
Performance Technologies,OTHER,0,1600,1775,1660,RT Xbox: New games. Big news. Watch this year's #XboxE3 broadcast LIVE beginning 9AM PT: http://t.co/AfGMdsO2W2 http://t.co/8ydvDQgkG8,1333,1578,1418,Microsoft
Halo,OTHER,0,1489,1950,1648,RT Halo: The Halo 5: Guardians Multiplayer Beta is now live. Step into the Arena and join the action! http://t.co/VZ1BIKtEGY,1098,1426,1212,Microsoft
