keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
http://t.co/bARphRhah5,LINK,0.0,2251,236,1545,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/v3sJAFw3oG NoPurchNec http://t.co/bARphRhah5 #giveaway http://t.co/r�,2251,236,1545
#ShadowofMordor,HASHTAG,0.2207758725,2532,309,1753,RT amazongames: Follow &amp; RT for a chance to win middleearthgame #ShadowofMordor for #PS4 or #XboxOne. http://t.co/TVhf0jnFtN http://t.co/�,2512,290,1734
http://t.co/7OKRYpz8Fs,LINK,0.0,1082,139,751,Follow amazon and retweet for a chance to win http://t.co/7OKRYpz8Fs Rules http://t.co/OurBZonokE #AmazonSweeps http://t.co/QHJJNqkcWz,1082,139,751
http://t.co/9csXfvP7I8,LINK,0.0,2256,293,1568,RT amazongames: Follow &amp; RT for a chance to win a Fire HD 6 tablet w/ Tales from Deep Space #12DaysOfGiveaways http://t.co/9csXfvP7I8 http�,2256,293,1568
http://t.co/gcgz8QJzx9,LINK,0.0,1400,173,970,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/gcgz8QJzx9 NoPurchNec http://t.co/NSYlpWJgT4 #giveaway http://t.co/A�,1400,173,970
http://t.co/RWY8EhTIfE,LINK,0.0,2114,214,1449,RT for a chance to win this watch. NoPurchNec http://t.co/RWY8EhTIfE #AmazonGiveaway Rules: https://t.co/HxuKy8s9Ry http://t.co/1aj7juOpi8,2114,214,1449
http://t.co/mavct6AFis,LINK,0.0,1424,185,990,Follow amazon and retweet for a chance to win http://t.co/b5vtgT1sIJ  Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/mavct6AFis,1424,185,990
http://t.co/R334k9RBQI,LINK,0.0,1518,210,1060,RT Amazon3PSellers: RT + Follow for a chance to win this AnkerOfficial Charger! NoPurchNec #AmazonGiveaway Rules: http://t.co/R334k9RBQI �,1518,210,1060
http://t.co/5vE7Ch83EF,LINK,0.0,2242,260,1548,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/�,2242,260,1548
http://t.co/zkUDsKdPh6,LINK,0.0,1136,133,784,RT for a chance to win from Rem4Men http://t.co/yqVjxkZfm4 NoPurchNec #AmazonGiveaway Rules:https://t.co/zayLYIivJ1 http://t.co/zkUDsKdPh6,1136,133,784
https://t.co/cBXt5XVYc1,LINK,0.0,1265,136,869,Follow Amazon and retweet for a chance to win http://t.co/xju61IFD1F Rules https://t.co/cBXt5XVYc1 #AmazonSweeps http://t.co/ajtIw5DJXb,1265,136,869
http://t.co/9nWbOcq9C1,LINK,0.0,1797,165,1225,Follow Amazon and Retweet for a chance to win http://t.co/juw29kskQl #AmazonSweeps Rules https://t.co/8F2M9LyT8e http://t.co/9nWbOcq9C1,1797,165,1225
