date,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity
24/06/2015,http://t.co/fnhDVrPBmg,LINK,0,entity,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
24/06/2015,@AmazonKindle,USERNAME,0,entity,e9d364b4-193e-4a0f-b3c1-3972d630126f,RT AmazonKindle: Where are you taking your Kindle this summer? http://t.co/wNkqmbvOjN #haveKINDLEwillTRAVELhttps://t.co/h0cqyTFlyS,30,44,34
24/06/2015,#haveKINDLEwillTRAVEL,HASHTAG,0,entity,e9d364b4-193e-4a0f-b3c1-3972d630126f,RT AmazonKindle: Where are you taking your Kindle this summer? http://t.co/wNkqmbvOjN #haveKINDLEwillTRAVELhttps://t.co/h0cqyTFlyS,30,44,34
24/06/2015,http://t.co/wNkqmbvOjN,LINK,0,entity,e9d364b4-193e-4a0f-b3c1-3972d630126f,RT AmazonKindle: Where are you taking your Kindle this summer? http://t.co/wNkqmbvOjN #haveKINDLEwillTRAVELhttps://t.co/h0cqyTFlyS,30,44,34
24/06/2015,https://t.co/h0cqyTFlyS,LINK,0,entity,e9d364b4-193e-4a0f-b3c1-3972d630126f,RT AmazonKindle: Where are you taking your Kindle this summer? http://t.co/wNkqmbvOjN #haveKINDLEwillTRAVELhttps://t.co/h0cqyTFlyS,30,44,34
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,phrase,58935d1f-2937-47d4-b580-7385cdcad309,RT treasuretruck: Have you seen the Truck? Share your pictures with us! #TreasureTruck #Amazon #Seattle,6,12,8
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,entity,58935d1f-2937-47d4-b580-7385cdcad309,RT treasuretruck: Have you seen the Truck? Share your pictures with us! #TreasureTruck #Amazon #Seattle,6,12,8
24/06/2015,#Amazon,HASHTAG,0.66294843,entity,58935d1f-2937-47d4-b580-7385cdcad309,RT treasuretruck: Have you seen the Truck? Share your pictures with us! #TreasureTruck #Amazon #Seattle,6,12,8
24/06/2015,#Seattle,HASHTAG,0.66294843,entity,58935d1f-2937-47d4-b580-7385cdcad309,RT treasuretruck: Have you seen the Truck? Share your pictures with us! #TreasureTruck #Amazon #Seattle,6,12,8
24/06/2015,@treasuretruck,USERNAME,0,entity,58935d1f-2937-47d4-b580-7385cdcad309,RT treasuretruck: Have you seen the Truck? Share your pictures with us! #TreasureTruck #Amazon #Seattle,6,12,8
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,phrase,82d31145-3249-448d-93ea-061a9a1ef0e5,Get ready Seattle. treasuretruck is coming soon. #TreasureTruck,10,38,19
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,entity,82d31145-3249-448d-93ea-061a9a1ef0e5,Get ready Seattle. treasuretruck is coming soon. #TreasureTruck,10,38,19
24/06/2015,@treasuretruck,USERNAME,0,entity,82d31145-3249-448d-93ea-061a9a1ef0e5,Get ready Seattle. treasuretruck is coming soon. #TreasureTruck,10,38,19
24/06/2015,@Misfit,USERNAME,0,entity,6ef32a36-fe1a-4cea-b244-7ed2dc744d8c,What color will you shine in? Misfit #WearableTech http://t.co/DEIq024IRe http://t.co/Tzl6kVf4lK,34,63,44
24/06/2015,#WearableTech,HASHTAG,0,entity,6ef32a36-fe1a-4cea-b244-7ed2dc744d8c,What color will you shine in? Misfit #WearableTech http://t.co/DEIq024IRe http://t.co/Tzl6kVf4lK,34,63,44
24/06/2015,http://t.co/DEIq024IRe,LINK,0,entity,6ef32a36-fe1a-4cea-b244-7ed2dc744d8c,What color will you shine in? Misfit #WearableTech http://t.co/DEIq024IRe http://t.co/Tzl6kVf4lK,34,63,44
24/06/2015,http://t.co/Tzl6kVf4lK,LINK,0,entity,6ef32a36-fe1a-4cea-b244-7ed2dc744d8c,What color will you shine in? Misfit #WearableTech http://t.co/DEIq024IRe http://t.co/Tzl6kVf4lK,34,63,44
24/06/2015,excited,OTHER,0.400000006,phrase,7baf3775-0f7b-48f5-8bf9-a0631514c68a,Everyone even this #PrimePet is excited about the #MinionsBoxes http://t.co/sMB2JM4xlM,21,61,35
24/06/2015,#PrimePet,HASHTAG,0.200000003,entity,7baf3775-0f7b-48f5-8bf9-a0631514c68a,Everyone even this #PrimePet is excited about the #MinionsBoxes http://t.co/sMB2JM4xlM,21,61,35
