keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
Indiana,OTHER,0,583,402,519,IBM Statement on Legislation in Arkansas and Indiana http://t.co/XOdI0CTJ5h,583,402,519
http://t.co/1pwaOs0uTD,LINK,0,545,923,677,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
innovation,OTHER,0.013621941,1088,436,841,Ginni Rometty inspiring innovation and transformation at IBM's #THINKForum http://t.co/mJ5LO5ILkC,94,34,73
#PaulRand,HASHTAG,0,507,433,478,"Proud to be a sponsor of ""Everything is Design"" exhibit at the @MuseumofCityNY, including #PaulRand's IBM logo work https://t.co/ZjmBZ6tSDK",122,124,122
@IBMSocialBiz,USERNAME,5.62E-09,477,167,358,RT @IBMSocialBiz: Introducing IBM Verse. Providing a #NewWayToWork. https://t.co/O7FUgPxsB1,58,17,43
@IBMSecurity,USERNAME,-0.00254881,459,556,488,"More than 1,000 companies join @IBMSecurity to help expose cybercrime http://t.co/0yXxdBSQXG http://t.co/7KCK2FQcnk",187,484,290
#NewWayToWork,HASHTAG,3.11E-08,1356,1184,1284,See how #IBMandTwitter can help your business make smarter decisions: http://t.co/Wt5NxyC10x #NewWayToWork http://t.co/LTlJy5LoKI,185,456,279
@Forbes,USERNAME,-0.011474903,1712,714,1341,IBM CEO Ginni Rometty named to @Forbes' list of most powerful women in the world: http://t.co/cnqgaMk85D  #PowerWomen http://t.co/rpSADxZTJY,243,91,189
fight,OTHER,-0.066289685,630,270,499,RT @BBCNewsUS: IBM joins fight against #Ebola - will put its data crunching to use in Sierra Leone http://t.co/vt8Ws6cCvc http://t.co/UKOty•À_,203,94,164
big data,OTHER,0.00999952,742,347,589,IBM invests to help open-source big data software http://t.co/4kzDr9J7OA via @NYTimes #ApacheSpark http://t.co/IAaVq9aXTz,58,33,49
Thomas J. Watson,OTHER,9.40E-08,801,456,674,"100 yrs ago, the famous ""THINK"" signs, based on the slogan by Thomas J. Watson, Sr., were used at IBM the first time. http://t.co/ADmkhuYIJV",158,89,133
#ICYMI,HASHTAG,1.25E-09,1195,661,993,#ICYMI: Ginni Rometty tops @businessinsider's 2015 list of most powerful women engineers http://t.co/h4gQAiGShL http://t.co/NFoSYQHW9C,101,50,83
http://t.co/JBh2BFEnq0,LINK,0,344,245,309,Remember these? The story one of the most beloved keyboards of all time•À_http://t.co/JBh2BFEnq0•À_via @verge http://t.co/QddZthBd9n,344,245,309
@ibmwatson,USERNAME,1.72E-13,431,189,338,RT @ibmwatson: How #IBMWatson Could Change Your Business: interview w/ Watson SVP @MikeRhodin. http://t.co/6sfuq5L3v5 http://t.co/MnGCM1rVvo,87,12,60
@FastCompany,USERNAME,6.34E-08,674,340,549,The golden age of quantum computing research is upon us. http://t.co/8nlhk0eGV4 via @FastCompany #IBMResearch http://t.co/yE7q3HyCuE,102,52,84
@IBMcloud,USERNAME,1.72E-08,2003,780,1536,RT @IBMcloud: A @Forrester survey finds #IBMCloud the most popular multi-vendor hosted private cloud. http://t.co/2LbYYvrNnv http://t.co/CR•À_,164,137,154
@rolandgarros,USERNAME,0,542,930,676,Smarter games are #MadeWithIBM. Here's how we put @rolandgarros in your pocket: http://t.co/jgTTBLJOk1 http://t.co/elQrpi7C27,331,851,513
#USOpen,HASHTAG,0.002426108,437,189,344,"Fans streamed 2.9 million hours of #USOpen footage in 2013. That's tennis, made with #IBMCloud http://t.co/42vxeWsI0G http://t.co/n6qWKXLew6",83,14,58
Powerful,OTHER,0.109339528,331,122,255,IBM CEO Ginni Rometty tops @FortuneMagazine's Most Powerful Women list: http://t.co/pcbXqXZPXK http://t.co/mGsLLbBgl3,130,50,102
@WSJ,USERNAME,-0.014418656,544,249,433,Today we announced a new program to fuel startups with @IBMcloud: http://t.co/i9UIMCv2Hz via @WSJ http://t.co/j7Rfw9KIzX,80,27,61
@SoftLayer,USERNAME,1.01E-10,756,254,566,Today we announced the opening of a new @SoftLayer data center in Toronto: http://t.co/txa8IlP22c  #IBMCloud http://t.co/zXDSlLTwWq,97,51,80
security,OTHER,0.025067096,881,259,654,The importance of security in today's mobile and social environment  #THINKForum http://t.co/XpkprrHGTr,77,27,59
http://t.co/elQrpi7C27,LINK,0,331,851,513,Smarter games are #MadeWithIBM. Here's how we put @rolandgarros in your pocket: http://t.co/jgTTBLJOk1 http://t.co/elQrpi7C27,331,851,513
http://t.co/J0xFriVLzA,LINK,0,576,1275,820,We're teaming up with @BoxHQ to transform the way we work in the cloud. More at: http://t.co/9CQqxRbO3T http://t.co/J0xFriVLzA,576,1275,820
secure,OTHER,0.075124008,299,115,232,Cybercrimes are fast &amp; frequent. Here are 7 tips to stay secure &amp; safe. http://t.co/v2Y4Gl9H4X #IBMSecutiry http://t.co/USyREOchAL,86,29,66
http://t.co/soqbtQzCae,LINK,0,370,528,425,First #IBMandTwitter cloud data services announced: http://t.co/tbomixijA7 http://t.co/soqbtQzCae,370,528,425
insight,OTHER,0.067685771,421,408,412,IBM &amp; @WSI_Weather partner to deliver real-time weather insight to businesses #WeatherMeansBiz http://t.co/iOII9y3KKf http://t.co/4CI3uoATDP,196,288,228
@verge,USERNAME,0,387,276,346,Remember these? The story one of the most beloved keyboards of all time•À_http://t.co/JBh2BFEnq0•À_via @verge http://t.co/QddZthBd9n,344,245,309
#IBMcloud,HASHTAG,0.008602781,1067,342,797,"""Put simply, we're offering 'IBM as a Service.'"" http://t.co/dSCMRW86OY #IBMcloud #IBMPulse",100,12,69
Apple - Business - Mobile,OTHER,0,949,925,940,"RT @tim_cook: Here come the most enterprising apps ever! IBM MobileFirst for iOS, Apple - Business - Mobile Enterprise Apps http://t.co/vXF•À_",949,925,940
@nytimesbits,USERNAME,0,372,173,297,"RT @IBMAnalytics: IBM Offers a Data Tool for the Mainstream, With Watson's Help http://t.co/07ZvEEUCLS via @nytimesbits  #WatsonAnalytics",72,27,56
http://t.co/I0kr3talig,LINK,0,992,1545,1185,These 6 graduates just finished high school &amp; college in 4 years. Here's how: http://t.co/2Q0EOqlKBs  #IBMedu http://t.co/I0kr3talig,992,1545,1185
Phenomenal,OTHER,0.792564154,1327,672,1097,RT @Wimbledon: The stats in this #Wimbledon final couldn't have been closer. Phenomenal play by both men. #FederervsDjokovic final. http://•À_,1327,672,1097
#TBT,HASHTAG,0.017857143,968,523,802,"Today in 1972, the first barcode was swiped. Two IBMers patented the first barcode technology 20 years prior. #TBT http://t.co/zJeZRUeIqB",105,35,80
#TEDatIBM,HASHTAG,0.007970572,552,249,435,What will our world look like in 10 years? In 50? Join us tomorrow for #TEDatIBM: http://t.co/zBgXdI5NLG http://t.co/XqplRe45cn,69,30,55
#IoT,HASHTAG,0.002272766,650,315,526,IBM announces $3 billion investment for new Internet of Things unit http://t.co/iOII9y3KKf https://t.co/cU6fb8Fqgn #IoT,353,140,278
https://t.co/HqqP5g8Tyz,LINK,0,213,242,223,RT @BoxHQ: We're teaming up with @IBM to transform work in the cloud: https://t.co/HqqP5g8Tyz http://t.co/tL8RUFakUw,213,242,223
#IBM2014AR,HASHTAG,3.44E-05,839,265,634,Released: CEO Ginni Rometty's letter to investors on IBM's year of transformation http://t.co/cwKoRkNOEV  #IBM2014AR http://t.co/Nt4HMELXan,234,86,182
#IBMFoodTruck,HASHTAG,2.44E-13,965,326,702,Make your own @IBMWatson BBQ sauce--here's the recipe (and a printable label): http://t.co/cAipS8FIJg  #IBMFoodTruck http://t.co/MUF8EpVrSy,55,23,43
improve,OTHER,0.049579922,921,911,912,RT @tim_cook: Japan Post's new initiative has the power to improve care and quality of life for millions of seniors. http://t.co/vblxDgpSZm,643,829,708
@SAP,USERNAME,0,308,104,234,Today IBM &amp; @SAP announced a cloud partnership that will accelerate enterprise cloud adoption http://t.co/eCLARoiVSb http://t.co/dbiA4oNRRy,161,54,123
#mobile,HASHTAG,1.46E-14,763,258,569,75% of the world's travelers use tablets &amp; smartphones while traveling http://t.co/XWyvst9Gjz #mobile #travel http://t.co/QVFU0f2wRg,51,32,44
collaboration,OTHER,0.071871529,488,485,483,Here's more on our landmark collaboration with @Twitter: http://t.co/JjiLIMKtsm  #IBMandTwitter http://t.co/ckk88JxZEc,347,408,368
#WeatherMeansBiz,HASHTAG,0.026564257,678,494,608,IBM &amp; @WSI_Weather partner to deliver real-time weather insight to businesses #WeatherMeansBiz http://t.co/iOII9y3KKf http://t.co/4CI3uoATDP,196,288,228
http://t.co/lOysNk4L6h,LINK,0,556,311,467,The world is becoming smarter every day. See how in our new TV spots: http://t.co/lOysNk4L6h #IBMThink http://t.co/QcDjbjcBRb,147,53,114
#MarriageEquality,HASHTAG,0,672,614,651,Regarding today's #MarriageEquality news: http://t.co/lXkXFGpRBp,672,614,651
