ID,Source Text,Summary,Detected Language,Detected Language Strength,Document Sentiment,Document Sentiment +/-,Model Sentiment,Model Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Suggested Phrase,Entity,Entity Type,Entity Sentiment,Entity Sentiment +/-,Entity Sentiment Evidence,Theme,Theme Sentiment,Theme Sentiment +/-,Theme Sentiment Evidence,Wikipedia™ Category,Wikipedia Sub Category,Wikipedia Category Strength,User Category,User Category Strength,User Category Sentiment,User Category Sentiment +/-,Query Category,Query Sub Category,Query Category Sentiment,Query Category Sentiment +/-,Query Category Relevancy,Intention Type,Who,What,Evidence
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Business,Customer_experience_management,0.609490395,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Business,Services_management_and_marketing,0.548055887,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Business,Supply_chain_management_terms,0.515535355,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Business,Consumer_behaviour,0.500742376,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Telecommunication,,0.743647456,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Telecommunication,Telecommunications_systems,0.536722302,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,Marketing,,0.588910937,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,,,,,,,,,,,,,,IT,,0.503484488,,,,,,,,,,,,,
390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,Apple is open for everyone... We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar  #HB1228... ,English,15,-0.59297502,negative,,,deeply,,disappointed,-0.926100016,negative,,Apple,Company,-0.59297502,negative,7,,,,,Law,,0.741716564,Law,0.914145052,-0.59297502,negative,,,,,,,,,
390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,Apple is open for everyone... We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar  #HB1228... ,English,15,-0.59297502,negative,,,,,new law,-0.259849995,negative,,Indiana,Place,-0.259849995,neutral,6,,,,,Law,Legal_reform,0.478889108,Intellectual Property,0.560026824,-0.59297502,negative,,,,,,,,,
390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,Apple is open for everyone... We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar  #HB1228... ,English,15,-0.59297502,negative,,,,,,,,,Gov.,Job Title,-0.259849995,neutral,6,,,,,Law,Conflict_of_laws,0.452191561,,,,,,,,,,,,,
390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,Apple is open for everyone... We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar  #HB1228... ,English,15,-0.59297502,negative,,,,,,,,, #HB1228,Pattern,-0.259849995,neutral,6,,,,,Law,Video_game_law,0.45074749,,,,,,,,,,,,,
435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,A huge thank you to the talented team at Apple who make days like this possible... It's a privilege to work along side of you... ,English,22,0.449999988,positive,,,,,talented team,0.699999988,positive,,Apple,Company,0.699999988,positive,6,talented team,0.699999988,positive,4,,,,,,,,,,,,,,,,
